用户ID,日期,设备型号,作业区域,操作员等级,挖掘模式,铲斗容量(m³),岩石硬度,煤层硬度等级,泥土湿度(%),煤层厚度(m),煤岩比,瓦斯浓度(%),坡度角(°),环境温度(℃),液压压力(MPa),液压油温(℃),发动机负载率(%),设备利用率(%),油耗(L),挖掘量(m³),故障次数,故障代码,故障部位,是否停机,维修时长(h),维修费用(元)
U0001,2026-06-01,CME220,东翼1区,高级,经济,1.2,3.2,软煤层,18,2.5,1:3,0.28,5,22,31.5,58,72,96,68,980,0,NORMAL,无,否,0,0
U0002,2026-06-01,CME260,东翼2区,中级,标准,1.5,4.1,中硬煤层,16,2.8,1:2,0.31,6,23,32.0,60,75,95,72,950,0,NORMAL,无,否,0,0
U0003,2026-06-01,CME330,西翼1区,中级,重载,2.0,5.8,硬煤层,12,3.2,1:1,0.35,8,24,33.5,64,82,88,88,820,1,E201,液压泵,否,1.5,800
U0004,2026-06-02,CME220,西翼2区,高级,经济,1.2,2.9,软煤层,24,2.2,1:4,0.25,4,21,30.5,55,68,97,64,1020,0,NORMAL,无,否,0,0
U0005,2026-06-02,CME260,南翼1区,中级,重载,1.5,6.5,硬煤层,10,3.5,1:1,0.40,10,25,34.2,67,86,85,96,760,1,E315,主阀,否,2,1200
U0006,2026-06-02,CME330,南翼2区,高级,重载,2.0,7.1,硬煤层,8,3.8,2:1,0.42,12,26,35.1,70,89,83,108,690,1,E108,回转马达,否,2.5,1800
U0007,2026-06-03,CME220,北翼1区,初级,标准,1.2,3.8,软煤层,20,2.6,1:3,0.27,5,22,31.2,57,71,93,69,960,0,NORMAL,无,否,0,0
U0008,2026-06-03,CME260,北翼2区,高级,标准,1.5,5.2,中硬煤层,15,3.0,1:2,0.33,7,23,32.8,61,79,94,81,890,0,NORMAL,无,否,0,0
U0009,2026-06-03,CME330,东翼3区,中级,重载,2.0,8.0,极硬煤层,6,4.0,2:1,0.46,13,27,35.5,73,91,72,115,650,2,E421,液压系统,是,6,6800
U0010,2026-06-04,CME220,东翼4区,高级,经济,1.2,3.4,软煤层,22,2.4,1:3,0.29,4,21,31.0,56,70,96,67,985,0,NORMAL,无,否,0,0
U0011,2026-06-04,CME260,西翼3区,中级,标准,1.5,5.9,硬煤层,14,3.1,1:2,0.34,8,24,33.1,63,81,89,86,850,1,E112,行走马达,否,2,1500
